# Weather station Zagreb / Pleso (airport), Croatia, METAR=LDZA,selection from 13.12.2021 till 13.12.2021, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LDZA&lang=en
#
"Local time in Zagreb / Pleso (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"13.12.2021 23:30";"3.0";"761.1";"771.1";"87";"Wind blowing from the west-southwest";"2";"";"";"";"Broken clouds (60-90%) 810 m, overcast (100%) 1080 m";"10.0 and more";"1.0";
"13.12.2021 23:00";"3.0";"761.1";"771.1";"87";"Wind blowing from the west-southwest";"2";"";"";"";"Broken clouds (60-90%) 810 m, overcast (100%) 960 m";"10.0 and more";"1.0";
"13.12.2021 22:30";"3.0";"761.1";"771.1";"87";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 810 m, broken clouds (60-90%) 1200 m";"10.0 and more";"1.0";
"13.12.2021 22:00";"3.0";"760.4";"770.4";"87";"Wind blowing from the south-west";"2";"";"";"";"Few clouds (10-30%) 810 m, broken clouds (60-90%) 1200 m";"10.0 and more";"1.0";
"13.12.2021 21:30";"3.0";"760.4";"770.4";"87";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 810 m, broken clouds (60-90%) 1200 m";"10.0 and more";"1.0";
"13.12.2021 21:00";"4.0";"760.4";"770.4";"81";"Wind blowing from the west-southwest";"2";"";"";"";"Scattered clouds (40-50%) 780 m, broken clouds (60-90%) 1140 m";"10.0 and more";"1.0";
"13.12.2021 20:30";"4.0";"760.4";"770.4";"81";"Wind blowing from the west-southwest";"2";"";"";"";"Overcast (100%) 780 m";"10.0 and more";"1.0";
"13.12.2021 20:00";"4.0";"760.4";"770.4";"81";"Wind blowing from the west-southwest";"2";"";"";"";"Overcast (100%) 810 m";"10.0 and more";"1.0";
"13.12.2021 19:30";"4.0";"760.4";"770.4";"81";"Wind blowing from the west-southwest";"2";"";"";"";"Overcast (100%) 840 m";"10.0 and more";"1.0";
"13.12.2021 19:00";"4.0";"760.4";"770.4";"81";"Wind blowing from the west-southwest";"2";"";"";"";"Overcast (100%) 930 m";"10.0 and more";"1.0";
"13.12.2021 18:30";"4.0";"760.4";"770.4";"81";"variable wind direction";"1";"";"";"";"Broken clouds (60-90%) 1020 m";"10.0 and more";"1.0";
