Local time in Zagreb / Pleso (airport);T;P0;P;U;DD;Ff;ff10;WW;W'W';c;VV;Td;Unnamed: 13
03.11.2020 23:30;9.0;756.0;765.8;94.0;Calm, no wind;0.0;;Ground fog;;No Significant Clouds;8.0;8.0;
03.11.2020 23:00;9.0;756.0;765.8;94.0;Calm, no wind;0.0;;Ground fog;;No Significant Clouds;10.0 and more;8.0;
03.11.2020 22:30;9.0;756.0;765.8;94.0;Wind blowing from the south-west;1.0;;Ground fog;;No Significant Clouds;10.0 and more;8.0;
03.11.2020 22:00;9.0;756.0;765.8;94.0;Calm, no wind;0.0;;Ground fog;;No Significant Clouds;8.0;8.0;
03.11.2020 21:30;10.0;756.1;765.8;94.0;Wind blowing from the west-southwest;2.0;;Ground fog;;No Significant Clouds;6.0;9.0;
03.11.2020 21:00;10.0;756.1;765.8;94.0;Wind blowing from the west-southwest;1.0;;Ground fog;;No Significant Clouds;5.0;9.0;
03.11.2020 20:30;11.0;756.1;765.8;88.0;Calm, no wind;0.0;;Mist;;No Significant Clouds;3.5;9.0;
03.11.2020 20:00;11.0;756.1;765.8;94.0;Calm, no wind;0.0;;;;No Significant Clouds;6.0;10.0;
03.11.2020 19:30;12.0;756.1;765.8;88.0;Wind blowing from the north-northeast;1.0;;;;No Significant Clouds;10.0 and more;10.0;
03.11.2020 19:00;13.0;756.2;765.8;82.0;Wind blowing from the north-east;2.0;;;;No Significant Clouds;10.0 and more;10.0;
03.11.2020 18:30;13.0;756.2;765.8;82.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;10.0;
03.11.2020 18:00;14.0;756.2;765.8;77.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;10.0;
03.11.2020 17:30;16.0;756.3;765.8;72.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 17:00;17.0;756.3;765.8;68.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 16:30;19.0;756.4;765.8;60.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 16:00;20.0;756.4;765.8;56.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 15:30;20.0;756.4;765.8;53.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;10.0;
03.11.2020 15:00;21.0;756.4;765.8;50.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;10.0;
03.11.2020 14:30;20.0;756.4;765.8;53.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;10.0;
03.11.2020 14:00;20.0;756.4;765.8;53.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;10.0;
03.11.2020 13:30;20.0;756.4;765.8;56.0;Calm, no wind;0.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 13:00;19.0;756.4;765.8;60.0;variable wind direction;1.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 12:30;18.0;756.3;765.8;64.0;variable wind direction;1.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 12:00;18.0;756.3;765.8;64.0;Wind blowing from the west-southwest;2.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 11:30;18.0;757.1;766.6;64.0;Wind blowing from the south-west;2.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 11:00;17.0;757.1;766.6;68.0;Wind blowing from the west;3.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 10:30;16.0;757.1;766.6;72.0;Wind blowing from the west;2.0;;;;No Significant Clouds;10.0 and more;11.0;
03.11.2020 10:00;14.0;757.0;766.6;77.0;Wind blowing from the west-southwest;3.0;;;;No Significant Clouds;10.0 and more;10.0;
03.11.2020 09:30;14.0;757.0;766.6;82.0;Wind blowing from the west-southwest;3.0;;;;No Significant Clouds;10.0 and more;11.0;
