"time","icao24","lat","lon","velocity","heading","vertrate","callsign","onground","alert","spi","squawk","baroaltitude","geoaltitude","lastposupdate","lastcontact"
1632742560,400981,45.7333374023438,16.0543212890625,84.7771870814687,226.229334486478,14.6304,"BAW85GA ","False","False","False",NA,190.5,259.08,1632742559.816,1632742559.816
1632742570,400981,45.7280769994703,16.0464935302734,83.3415157749985,226.750854186543,14.6304,"BAW85GA ","False","False","False",NA,342.9,426.72,1632742569.834,1632742569.92
1632742580,400981,45.7229461669922,16.0387662561928,83.7169691566743,226.992093572966,11.70432,"BAW85GA ","False","False","False",NA,480.06,548.64,1632742579.801,1632742579.801
1632742590,400981,45.7177734375,16.0308614591273,89.5339496310167,226.862620949307,6.5024,"BAW85GA ","False","False","False",NA,563.88,647.7,1632742589.444,1632742589.556
1632742600,400981,45.7119140625,16.0218848251715,96.8303327735179,227.1529627891,5.85216,"BAW85GA ","False","False","False",NA,632.46,723.9,1632742599.657,1632742599.764
1632742610,400981,45.7056884765625,16.0123052829649,102.998061335719,226.821513351601,5.52704,"BAW85GA ","False","False","False",NA,693.42,784.86,1632742609.898,1632742609.898
1632742620,400981,45.6991680597855,16.0024108886719,110.671241415347,227.260501911141,6.5024,"BAW85GA ","False","False","False",NA,762,861.06,1632742619.807,1632742619.972
1632742630,400981,45.6922317763506,15.9916305541992,121.257189959642,227.579147500283,5.20192,"BAW85GA ","False","False","False",NA,800.1,906.78,1632742629.642,1632742629.775
1632742640,400981,45.6845855712891,15.9797482374238,127.798699922456,227.447048642324,10.40384,"BAW85GA ","False","False","False",NA,883.92,967.74,1632742639.632,1632742639.632
1632742650,400981,45.6766662597656,15.9675560927973,133.23603023179,227.190573864038,14.95552,"BAW85GA ","False","False","False",NA,1005.84,1112.52,1632742649.525,1632742649.956
1632742660,400981,45.6681976318359,15.954560070503,135.417061970911,227.155275620791,17.55648,"BAW85GA ","False","False","False",NA,1173.48,1264.92,1632742659.808,1632742659.808
1632742670,400981,45.6602783203125,15.9418320074314,137.225466007275,231.239555234331,16.58112,"BAW85GA ","False","False","False",NA,1333.5,1440.18,1632742669.506,1632742669.506
1632742680,400981,45.6541900634766,15.9263573623285,136.525528812085,247.396742523817,19.5072,"BAW85GA ","False","False","False",NA,1516.38,1623.06,1632742679.611,1632742679.611
1632742690,400981,45.6517313294491,15.9091644287109,135.860949573784,264.785929070576,19.5072,"BAW85GA ","False","False","False",NA,1722.12,1821.18,1632742689.674,1632742689.74
1632742700,400981,45.6529083251953,15.8919246022294,135.750844829776,284.036243467926,18.85696,"BAW85GA ","False","False","False",NA,1912.62,2042.16,1632742699.707,1632742699.707
