"time","icao24","lat","lon","velocity","heading","vertrate","callsign","onground","alert","spi","squawk","baroaltitude","geoaltitude","lastposupdate","lastcontact","time_METER","T","P0","P","U","DD","Ff","ff10","WW","W.W.","c","VV","Td","X"
1640009270,"501d1e",45.7469306557865,16.0749206542969,73.1903946316849,47.563770211465,12.67968,"CTN82R  ","False","False","False",NA,228.6,320.04,1640009269.931,1640009269.931,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009280,"501d1e",45.7513275146484,16.0817737114139,74.3367129779067,48.3664606634298,12.67968,"CTN82R  ","False","False","False",NA,358.14,434.34,1640009279.643,1640009279.643,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009290,"501d1e",45.7556762695312,16.0889416206174,74.7219948668542,48.6285321554364,13.0048,"CTN82R  ","False","False","False",NA,487.68,571.5,1640009289.528,1640009289.998,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009300,"501d1e",45.7602445958024,16.0962753295898,74.2975405953568,47.8063702517883,14.6304,"CTN82R  ","False","False","False",NA,632.46,701.04,1640009299.915,1640009299.915,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009310,"501d1e",45.7648067151086,16.1032791137695,73.1614613322862,46.9945693012418,13.32992,"CTN82R  ","False","False","False",NA,777.24,845.82,1640009309.96,1640009309.96,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009320,"501d1e",45.7692291777013,16.1100082397461,73.8670647507867,46.4109408203827,12.67968,"CTN82R  ","False","False","False",NA,899.16,944.88,1640009319.868,1640009319.868,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009330,"501d1e",45.7737912970074,16.1168060302734,74.5801870911525,45.8384149744021,11.3792,"CTN82R  ","False","False","False",NA,1028.7,1097.28,1640009329.644,1640009329.671,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009340,"501d1e",45.7794706700212,16.1222305297852,79.9641930651144,21.1169046644634,9.42848,"CTN82R  ","False","False","False",NA,1120.14,1173.48,1640009339.557,1640009339.557,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009350,"501d1e",45.7868724758342,16.1226425170898,84.5474275951868,348.416581395313,9.42848,"CTN82R  ","False","False","False",NA,1219.2,1272.54,1640009349.825,1640009349.825,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009360,"501d1e",45.7937156547934,16.117561340332,92.0179124767411,319.989362569642,8.77824,"CTN82R  ","False","False","False",NA,1303.02,1356.36,1640009359.709,1640009359.71,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009370,"501d1e",45.7986967442399,16.1076736450195,100.863827592537,294.081175038922,11.05408,"CTN82R  ","False","False","False",NA,1394.46,1440.18,1640009369.593,1640009369.593,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009380,"501d1e",45.8011640128443,16.0945587158203,107.074817519343,279.960140308373,14.6304,"CTN82R  ","False","False","False",NA,1531.62,1569.72,1640009379.788,1640009379.788,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009390,"501d1e",45.8031192068326,16.0808944702148,111.436217920025,283.07391885825,15.93088,"CTN82R  ","False","False","False",NA,1684.02,1714.5,1640009389.747,1640009389.774,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009400,"501d1e",45.804931640625,16.0709883527058,113.841005776305,285.732004785107,16.256,"CTN82R  ","False","False","False",NA,1798.32,1821.18,1640009396.722,1640009396.722,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009410,"501d1e",45.8089141845703,16.052700135766,120.711409796133,288.12607968817,14.95552,"CTN82R  ","False","False","False",NA,1996.44,2011.68,1640009409.465,1640009409.933,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009420,"501d1e",45.8125227588718,16.0370178222656,126.569952780509,287.993087817974,15.28064,"CTN82R  ","False","False","False",NA,2148.84,2164.08,1640009419.864,1640009419.904,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009430,"501d1e",45.8159676244703,16.0212249755859,130.036342740737,286.786088850342,18.53184,"CTN82R  ","False","False","False",NA,2316.48,2293.62,1640009429.994,1640009429.994,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
1640009440,"501d1e",45.8192138671875,16.0049364043445,132.428118123369,285.547939558289,20.48256,"CTN82R  ","False","False","False",NA,2514.6,2506.98,1640009439.88,1640009439.939,"20.12.2021 15:00",8,756,765.8,57,"variable wind direction",1,NA,NA,NA,"Few clouds (10-30%) 1200 m","10.0 and more",0,NA
