"time","icao24","lat","lon","velocity","heading","vertrate","callsign","onground","alert","spi","squawk","baroaltitude","geoaltitude","lastposupdate","lastcontact","time_METER","T","P0","P","U","DD","Ff","ff10","WW","W.W.","c","VV","Td","Unnamed..13"
1618243210,"501d21",45.7380523681641,16.0613418206936,81.1860439277101,227.311131452761,8.77824,"CTN82R  ","False","False","False",NA,106.68,167.64,1618243209.148,1618243209.586,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243220,"501d21",45.7330580889168,16.0535659790039,76.797030152837,226.900110965577,10.72896,"CTN82R  ","False","False","False",NA,228.6,281.94,1618243219.8,1618243219.8,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243230,"501d21",45.7281646728516,16.0462021246189,77.5036819996301,226.344724388702,10.72896,"CTN82R  ","False","False","False",NA,335.28,388.62,1618243229.973,1618243229.973,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243240,"501d21",45.7234039306641,16.0390342154154,76.7763505823644,226.357465844531,13.32992,"CTN82R  ","False","False","False",NA,457.2,510.54,1618243239.971,1618243239.971,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243250,"501d21",45.7188131041446,16.0322113037109,73.4953070655927,226.134421630977,13.65504,"CTN82R  ","False","False","False",NA,594.36,647.7,1618243249.889,1618243249.889,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243260,"501d21",45.7142975370763,16.0254821777344,71.6703765784764,225.872457122902,12.35456,"CTN82R  ","False","False","False",NA,723.9,777.24,1618243259.878,1618243259.878,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243270,"501d21",45.7098285222458,16.0188903808594,70.2154813995784,225.890536253361,12.35456,"CTN82R  ","False","False","False",NA,845.82,899.16,1618243269.896,1618243269.896,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243280,"501d21",45.7055053710938,16.0125732421875,69.1310145805621,226.20604877922,11.3792,"CTN82R  ","False","False","False",NA,967.74,1021.08,1618243279.876,1618243279.876,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243290,"501d21",45.7012939453125,16.0062092106517,69.9038349761092,227.385944030389,7.80288,"CTN82R  ","False","False","False",NA,1066.8,1135.38,1618243289.76,1618243289.76,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243300,"501d21",45.6982835672669,15.997673034668,79.1056977462478,255.69264287959,6.17728,"CTN82R  ","False","False","False",NA,1127.76,1196.34,1618243299.879,1618243299.879,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243310,"501d21",45.6981353759766,15.9878540039063,88.6337895120875,279.352979250093,5.85216,"CTN82R  ","False","False","False",NA,1181.1,1249.68,1618243308.962,1618243309.435,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243320,"501d21",45.7004241943359,15.9753269102515,95.5440376830917,286.58104784774,6.5024,"CTN82R  ","False","False","False",NA,1257.3,1325.88,1618243319.959,1618243319.995,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243330,"501d21",45.7028456865731,15.9633407592773,101.475953540987,285.586304491473,6.17728,"CTN82R  ","False","False","False",NA,1318.26,1379.22,1618243329.793,1618243329.793,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243340,"501d21",45.7053595074153,15.9504318237305,108.828922897795,285.350136492424,8.128,"CTN82R  ","False","False","False",NA,1379.22,1447.8,1618243339.673,1618243339.673,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243350,"501d21",45.7081060894465,15.9363555908203,114.971040766041,285.839749223763,10.07872,"CTN82R  ","False","False","False",NA,1478.28,1539.24,1618243349.704,1618243349.704,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243360,"501d21",45.7110854326668,15.9218673706055,121.905861564872,286.676085068111,10.72896,"CTN82R  ","False","False","False",NA,1584.96,1645.92,1618243359.668,1618243359.705,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243370,"501d21",45.7142975370763,15.9068984985352,128.559545307002,286.984732531989,9.7536,"CTN82R  ","False","False","False",NA,1684.02,1737.36,1618243369.264,1618243369.821,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243380,"501d21",45.7178820593882,15.8902130126953,134.725409320823,287.327921777241,11.70432,"CTN82R  ","False","False","False",NA,1783.08,1844.04,1618243379.497,1618243379.58,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243390,"501d21",45.7216644287109,15.8729664872332,138.469557406219,287.290531998784,15.28064,"CTN82R  ","False","False","False",NA,1927.86,1965.96,1618243389.935,1618243389.935,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243400,"501d21",45.7253304174391,15.8562240600586,139.759390716268,287.567907756013,17.23136,"CTN82R  ","False","False","False",NA,2087.88,2141.22,1618243399.822,1618243399.988,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243410,"501d21",45.7292873576536,15.8385772705078,140.405518736663,287.704682952381,19.18208,"CTN82R  ","False","False","False",NA,2270.76,2308.86,1618243409.991,1618243409.991,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243420,"501d21",45.7328253277278,15.8226470947266,139.759390716268,287.567907756013,19.5072,"CTN82R  ","False","False","False",NA,2453.64,2491.74,1618243419.47,1618243419.47,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243430,"501d21",45.7367248535156,15.8051728039253,137.48750501787,287.417970792203,21.1328,"CTN82R  ","False","False","False",NA,2667,2720.34,1618243429.571,1618243429.668,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243440,"501d21",45.7404133424921,15.7883148193359,137.978445887491,287.354024636261,15.93088,"CTN82R  ","False","False","False",NA,2849.88,2895.6,1618243439.608,1618243439.608,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243450,"501d21",45.7441375215175,15.7710800170898,140.435674156689,287.041004479585,14.30528,"CTN82R  ","False","False","False",NA,2994.66,3040.38,1618243449.716,1618243449.716,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243460,"501d21",45.7479548050185,15.7535705566406,142.85805137686,287.390949945551,10.72896,"CTN82R  ","False","False","False",NA,3131.82,3185.16,1618243459.802,1618243459.985,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243470,"501d21",45.7517852783203,15.7359723346989,148.87355180486,287.495757877186,7.47776,"CTN82R  ","False","False","False",NA,3215.64,3268.98,1618243469.576,1618243469.633,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243480,"501d21",45.7559509277344,15.7170812095084,155.870589464283,287.478114533726,6.17728,"CTN82R  ","False","False","False",NA,3284.22,3337.56,1618243479.657,1618243479.717,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243490,"501d21",45.7602445958024,15.6975402832031,162.222882120237,287.343185480221,6.82752,"CTN82R  ","False","False","False",NA,3345.18,3398.52,1618243489.712,1618243489.919,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243500,"501d21",45.7646670583951,15.6774215698242,168.23813295694,287.43763753497,6.5024,"CTN82R  ","False","False","False",NA,3413.76,3467.1,1618243499.55,1618243499.764,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
1618243510,"501d21",45.7692260742188,15.6566564048209,172.96415192219,287.303194469049,8.77824,"CTN82R  ","False","False","False",7355,3474.72,3528.06,1618243509.516,1618243509.849,"12.04.2021 18:00",13,752.4,762,82,"Wind blowing from the east-southeast",2,NA,"Light rain","","No Significant Clouds","10.0 and more",10,NA
